experiment,run,seedServer,migrationTechnique,memoryFootprintInflation [MB],compressionEnabled,preDumpTime [s],preDumpTxTime [s],dumpTime [s],dumpTxTime [s],dumpSize,preDumpSize,rsyncPreDumpTotalFileSize,rsyncPreDumpTotalBytesSent,rsyncPreDumpTransferRate,rsyncPreDumpCompressionSpeedup,rsyncDumpTotalFileSize,rsyncDumpTotalBytesSent,rsyncDumpTransferRate,rsyncDumpCompressionSpeedup
4,1,1,cold,0.0,False,,,0.34824252128601074,1.1929447650909424,13M,,,,,,12.64M,12.65M,8.43M bytes/sec,1.00
4,1,1,cold,0.0,False,,,0.34824252128601074,1.1929447650909424,13M,,,,,,12.64M,12.65M,8.43M bytes/sec,1.00
4,1,1,cold,0.0,False,,,0.34824252128601074,1.1929447650909424,13M,,,,,,12.64M,12.65M,8.43M bytes/sec,1.00
4,1,1,cold,0.0,False,,,0.34824252128601074,1.1929447650909424,13M,,,,,,12.64M,12.65M,8.43M bytes/sec,1.00
4,1,1,cold,0.0,False,,,0.34824252128601074,1.1929447650909424,13M,,,,,,12.64M,12.65M,8.43M bytes/sec,1.00
4,1,1,cold,0.0,False,,,0.34824252128601074,1.1929447650909424,13M,,,,,,12.64M,12.65M,8.43M bytes/sec,1.00
4,1,1,cold,0.0,False,,,0.34824252128601074,1.1929447650909424,13M,,,,,,12.64M,12.65M,8.43M bytes/sec,1.00
4,1,1,cold,0.0,False,,,0.34824252128601074,1.1929447650909424,13M,,,,,,12.64M,12.65M,8.43M bytes/sec,1.00
4,1,1,cold,0.0,False,,,0.34824252128601074,1.1929447650909424,13M,,,,,,12.64M,12.65M,8.43M bytes/sec,1.00
4,1,1,cold,0.0,False,,,0.34824252128601074,1.1929447650909424,13M,,,,,,12.64M,12.65M,8.43M bytes/sec,1.00
4,1,1,cold,0.0,False,,,0.34824252128601074,1.1929447650909424,13M,,,,,,12.64M,12.65M,8.43M bytes/sec,1.00
4,1,1,cold,0.0,False,,,0.34824252128601074,1.1929447650909424,13M,,,,,,12.64M,12.65M,8.43M bytes/sec,1.00
4,1,1,cold,0.0,False,,,0.34824252128601074,1.1929447650909424,13M,,,,,,12.64M,12.65M,8.43M bytes/sec,1.00
4,1,1,cold,0.0,False,,,0.34824252128601074,1.1929447650909424,13M,,,,,,12.64M,12.65M,8.43M bytes/sec,1.00
4,1,1,cold,0.0,False,,,0.34824252128601074,1.1929447650909424,13M,,,,,,12.64M,12.65M,8.43M bytes/sec,1.00
4,1,1,cold,0.0,False,,,0.34824252128601074,1.1929447650909424,13M,,,,,,12.64M,12.65M,8.43M bytes/sec,1.00
4,1,1,cold,0.0,False,,,0.34824252128601074,1.1929447650909424,13M,,,,,,12.64M,12.65M,8.43M bytes/sec,1.00
4,1,1,cold,0.0,False,,,0.34824252128601074,1.1929447650909424,13M,,,,,,12.64M,12.65M,8.43M bytes/sec,1.00
4,1,1,cold,0.0,False,,,0.34824252128601074,1.1929447650909424,13M,,,,,,12.64M,12.65M,8.43M bytes/sec,1.00
4,1,1,cold,0.0,False,,,0.34824252128601074,1.1929447650909424,13M,,,,,,12.64M,12.65M,8.43M bytes/sec,1.00
4,1,1,cold,0.0,False,,,0.34824252128601074,1.1929447650909424,13M,,,,,,12.64M,12.65M,8.43M bytes/sec,1.00
4,1,1,cold,0.0,False,,,0.34824252128601074,1.1929447650909424,13M,,,,,,12.64M,12.65M,8.43M bytes/sec,1.00
4,1,1,cold,0.0,False,,,0.34824252128601074,1.1929447650909424,13M,,,,,,12.64M,12.65M,8.43M bytes/sec,1.00
4,1,1,cold,0.0,False,,,0.34824252128601074,1.1929447650909424,13M,,,,,,12.64M,12.65M,8.43M bytes/sec,1.00
4,1,1,cold,0.0,False,,,0.34824252128601074,1.1929447650909424,13M,,,,,,12.64M,12.65M,8.43M bytes/sec,1.00
4,1,1,cold,0.0,False,,,0.34824252128601074,1.1929447650909424,13M,,,,,,12.64M,12.65M,8.43M bytes/sec,1.00
4,1,1,cold,0.0,False,,,0.34824252128601074,1.1929447650909424,13M,,,,,,12.64M,12.65M,8.43M bytes/sec,1.00
4,1,1,cold,0.0,False,,,0.34824252128601074,1.1929447650909424,13M,,,,,,12.64M,12.65M,8.43M bytes/sec,1.00
4,1,1,cold,0.0,False,,,0.34824252128601074,1.1929447650909424,13M,,,,,,12.64M,12.65M,8.43M bytes/sec,1.00
4,1,1,cold,0.0,False,,,0.34824252128601074,1.1929447650909424,13M,,,,,,12.64M,12.65M,8.43M bytes/sec,1.00
